,Account,Cart,Catalog,Order
SearchServlet,0,0,1,0
cart(jsp),0,1,0,0
index(jsp),1,0,1,1
GioHangServlet,0,1,0,0
History,0,0,0,1
update_user(jsp),1,0,0,0
history(table),0,0,0,1
LogoutServlet,1,0,0,0
resetpassword(jsp),1,0,0,0
footer(jsp),1,1,1,1
user(table),1,0,0,1
search_menu(jsp),0,0,1,0
login(jsp),1,0,0,0
search_page(jsp),0,0,1,0
User,1,0,0,1
Product,1,1,1,1
ResetPassword,1,0,0,0
DBConnect,1,1,1,1
UpdateUser,1,0,0,0
detail(jsp),0,0,1,0
category(jsp),1,0,1,1
history(jsp),0,0,0,1
search(jsp),0,0,1,0
product(table),1,1,1,1
UserDAOImpl,1,0,0,1
CategoryDAOImpl,1,0,1,1
LoginServlet,1,0,0,0
Category,1,0,1,1
register(jsp),1,0,0,0
RegisterServlet,1,0,0,0
ProductDAOImpl,1,1,1,1
HistoryDAOImpl,0,0,0,1
ConfirmServlet,0,0,0,1
product(jsp),0,0,1,1
Cart,0,1,0,1
category(table),1,0,1,1
